disposition,period,duration,transit_depth,planet_radius,star_temp,star_radius,model_snr,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,source_kepler,source_tess
1,20.47748843,2.8364,1382.4,2.92,5097.0,0.779,52.7,0.0,0.0,0.0,0.0,True,False
1,3.336123113,1.9616,516.3,1.74,5097.0,0.779,41.6,0.0,0.0,0.0,0.0,True,False
1,8.01078456,2.312,1333.6,1.72,3713.0,0.47,48.5,0.0,0.0,0.0,0.0,True,False
1,12.07134205,4.3224,759.2,1.29,3713.0,0.47,31.0,0.0,0.0,0.0,0.0,True,False
1,20.99587872,2.6333,767.3,1.3,3713.0,0.47,18.2,0.0,0.0,0.0,0.0,True,False
1,7.41113177,2.5242,620.5,2.45,5849.0,0.919,50.4,0.0,0.0,0.0,0.0,True,False
0,1.000747038,0.9967,1823.5,4.14,5472.0,0.79,147.4,0.0,1.0,0.0,0.0,True,False
1,8.884922995,2.07004,16053.0,10.51,5332.0,0.843,388.2,0.0,0.0,0.0,0.0,True,False
1,8.09888906,4.20241,6911.1,8.95,6214.0,1.076,435.9,0.0,0.0,0.0,0.0,True,False
1,10.00653012,5.344,936.1,3.52,6063.0,1.001,71.9,0.0,0.0,0.0,0.0,True,False
1,17.855221681,7.41287,9065.2,13.16,6823.0,1.367,915.7,0.0,0.0,0.0,0.0,True,False
1,5.007316661,4.2362,6932.3,6.96,5865.0,0.827,431.4,0.0,0.0,0.0,0.0,True,False
1,2.211116989,1.6485,724.2,1.85,4500.0,0.646,42.6,0.0,0.0,0.0,0.0,True,False
1,27.9541337,3.95,942.5,1.9,4500.0,0.646,25.4,0.0,0.0,0.0,0.0,True,False
1,12.69104387,3.7727,252.1,2.57,5869.0,1.626,60.2,0.0,0.0,0.0,0.0,True,False
0,4.409409243,3.8636,12861.0,10.95,5600.0,0.975,85.8,0.0,1.0,0.0,0.0,True,False
1,16.23947096,4.0374,2590.7,4.14,5191.0,0.837,123.8,0.0,0.0,0.0,0.0,True,False
1,6.308201629,2.9785,1328.5,2.96,5191.0,0.837,86.2,0.0,0.0,0.0,0.0,True,False
1,2.052349884,2.0778,14281.0,13.12,5855.0,1.08,1072.1,0.0,0.0,0.0,0.0,True,False
1,9.7704486,2.4517,1897.8,2.23,3906.0,0.509,58.0,0.0,0.0,0.0,0.0,True,False
1,5.169804269,2.153,1037.4,1.66,3906.0,0.509,41.4,0.0,0.0,0.0,0.0,True,False
1,21.22261195,6.5093,366.0,2.48,5945.0,1.302,114.9,0.0,0.0,0.0,0.0,True,False
1,20.09017037,4.154,1432.1,2.25,3906.0,0.509,36.9,0.0,0.0,0.0,0.0,True,False
1,7.11373257,2.1764,807.6,1.16,3561.0,0.411,44.4,0.0,0.0,0.0,0.0,True,False
1,3.306551643,1.8177,509.2,0.91,3561.0,0.411,37.8,0.0,0.0,0.0,0.0,True,False
1,15.36845737,2.4714,756.1,1.11,3561.0,0.411,30.9,0.0,0.0,0.0,0.0,True,False
