id,name,star_name,orbital_period,radius,ra,dec,duration,transit_depth,model_snr
190,G 196-3 b,G 196-3,,,151.0884754,50.3861806,,,
191,G 261-6 b,G 261-6,5.4536,,291.07432,75.5558405,,,
192,G 264-012 b,G 264-012,2.30538,,326.6719598,66.803848,,,
193,G 264-012 c,G 264-012,8.0518,,326.6719598,66.803848,,,
194,G 268-110 b,G 268-110,1.43263,,16.223688,-18.124802,,,
195,G 9-40 b,G 9-40,5.74598226,1.9952699999999999,134.7188514,21.0747961,1.3369,0.34850000000000003,
196,GJ 1002 b,GJ 1002,10.3465,,1.6764641,-7.5462123,,,
197,GJ 1002 c,GJ 1002,21.202,,1.6764641,-7.5462123,,,
198,GJ 1061 b,GJ 1061,3.204,,54.0032486,-44.5143104,,,
199,GJ 1061 c,GJ 1061,6.689,,54.0032486,-44.5143104,,,
200,GJ 1061 d,GJ 1061,13.031,,54.0032486,-44.5143104,,,
201,GJ 1132 b,GJ 1132,1.6289302349616666,1.225216214,153.7090696,-47.1549358,0.787868,0.24775596,
202,GJ 1132 c,GJ 1132,8.929,,153.7090696,-47.1549358,,,
203,GJ 1148 b,GJ 1148,41.384,,175.4326081,42.7515862,,,
204,GJ 1148 c,GJ 1148,534.24,,175.4326081,42.7515862,,,
205,GJ 1151 c,GJ 1151,389.7,,177.7304866,48.3732334,,,
206,GJ 1214 b,GJ 1214,1.5804041558855557,2.656676222222222,258.8313991,4.9606795,0.8730119999999999,1.343,
207,GJ 1252 b,GJ 1252,0.51824004349,1.228628015,306.9286462,-56.4622865,0.7715082999999999,0.0831892,
208,GJ 1265 b,GJ 1265,3.6511,,333.4324675,-17.6870623,,,
209,GJ 1289 b,GJ 1289,111.74,,355.7813464,36.5363314,,,
210,GJ 143 b,GJ 143,35.6049897,2.86597,51.7501882,-63.500166,3.371,0.1575,
211,GJ 15 A b,GJ 15 A,11.4424,,4.6126677,44.0247296,,,
212,GJ 15 A c,GJ 15 A,7600.0,,4.6126677,44.0247296,,,
213,GJ 160.2 b,GJ 160.2,5.2354,,61.6454173,-20.8564724,,,
214,GJ 163 b,GJ 163,8.63182,,62.3228353,-53.3711768,,,
215,GJ 163 c,GJ 163,25.63058,,62.3228353,-53.3711768,,,
216,GJ 163 d,GJ 163,603.95116,,62.3228353,-53.3711768,,,
217,GJ 179 b,GJ 179,2308.0,,73.0245495,6.475234699999999,,,
218,GJ 180 b,GJ 180,17.2565,,73.460097,-17.776194,,,
219,GJ 180 c,GJ 180,24.329,,73.460097,-17.776194,,,
220,GJ 180 d,GJ 180,106.3,,73.460097,-17.776194,,,
221,GJ 2030 b,GJ 2030,2.38129,,50.8237604,-7.7950429,,,
222,GJ 2030 c,GJ 2030,25533.11353,,50.8237604,-7.7950429,,,
223,GJ 2056 b,GJ 2056,69.971,,108.0194945,-24.8921008,,,
224,GJ 2126 b,GJ 2126,272.7,,257.3606793,-35.391719,,,
225,GJ 229 A c,GJ 229,121.96384,,92.6435993,-21.8677233,,,
226,GJ 229 b,GJ 229,525.5299833333333,,92.6435993,-21.867723300000005,,,
227,GJ 238 b,GJ 238,1.7447015000000001,0.5789074999999999,98.454881,-58.5250316,1.1525,0.016,
228,GJ 251 b,GJ 251,14.238,,103.7002499,33.2664632,,,
229,GJ 27.1 b,GJ 27.1,15.819,,9.9980016,-44.2541679,,,
230,GJ 273 b,GJ 273,18.6498,,111.852091,5.225807,,,
231,GJ 273 c,GJ 273,4.7234,,111.852091,5.225807,,,
232,GJ 3021 b,GJ 3021,133.71,,4.0634323,-79.8514218,,,
233,GJ 3082 b,GJ 3082,11.949,,18.6432425,-53.9407751,,,
234,GJ 3090 b,GJ 3090,2.8531035,2.0753399999999997,20.4384281,-46.7147234,1.2115,0.1395,
235,GJ 3138 b,GJ 3138,1.22003,,32.2977385,-16.3392495,,,
236,GJ 3138 c,GJ 3138,5.974,,32.2977385,-16.3392495,,,
237,GJ 3138 d,GJ 3138,257.8,,32.2977385,-16.3392495,,,
238,GJ 317 b,GJ 317,694.322,,130.2445254,-23.452809,,,
239,GJ 317 c,GJ 317,7210.2646,,130.2445254,-23.452809,,,
240,GJ 3222 b,GJ 3222,10.66669,,50.8972464,-40.0762325,,,
241,GJ 328 b,GJ 328,3935.5,,133.7819507,1.5420011,,,
242,GJ 328 c,GJ 328,241.8,,133.7819507,1.5420011,,,
243,GJ 3293 b,GJ 3293,30.59935,,67.1484425,-25.1713396,,,
244,GJ 3293 c,GJ 3293,123.1848,,67.1484425,-25.1713396,,,
245,GJ 3293 d,GJ 3293,48.1345,,67.1484425,-25.1713396,,,
246,GJ 3293 e,GJ 3293,13.2543,,67.1484425,-25.1713396,,,
247,GJ 3323 b,GJ 3323,5.3636,,75.4868824,-6.9485133,,,
248,GJ 3323 c,GJ 3323,40.54,,75.4868824,-6.9485133,,,
249,GJ 3341 b,GJ 3341,14.207,,78.9471415,-31.2948458,,,
250,GJ 338 B b,GJ 338 B,24.436,,138.5916722,52.6835211,,,
251,GJ 341 b,GJ 341,7.5768467,0.8739435,140.3993759,-60.2811692,2.1515,0.0289,
252,GJ 3470 b,GJ 3470,3.336695005753636,4.258643972857143,119.7735021,15.391209000000002,1.89814085,0.59829352,
253,GJ 3473 b,GJ 3473,1.19800153021,1.23736694,120.5936065,3.3371629,0.95910015,0.11503177,
254,GJ 3473 c,GJ 3473,15.509,,120.5936065,3.3371629,,,
255,GJ 3512 b,GJ 3512,203.463,,130.3316616,59.49183639999999,,,
256,GJ 3512 c,GJ 3512,1976.8,,130.3316616,59.4918364,,,
257,GJ 357 b,GJ 357,3.9306364250000003,1.2289833333333333,144.0074644,-21.6650634,1.3389999999999997,0.10015,
258,GJ 357 c,GJ 357,9.1247,,144.0074644,-21.6650634,,,
259,GJ 357 d,GJ 357,55.661,,144.0074644,-21.6650634,,,
260,GJ 3634 b,GJ 3634,2.64561,,164.6433493,-31.1443383,,,
261,GJ 367 b,GJ 367,0.32193593333333337,1.3592533333333332,146.121464,-45.77901649999999,0.48100000000000004,0.0208,
262,GJ 367 c,GJ 367,11.5301,,146.121464,-45.7790165,,,
263,GJ 367 d,GJ 367,34.369,,146.121464,-45.7790165,,,
264,GJ 3779 b,GJ 3779,3.0232,,200.7335358,24.4639425,,,
265,GJ 3929 b,GJ 3929,2.61626212412,1.1124289133333332,239.5775678,35.4081141,1.1624465,0.11206014,
266,GJ 3929 c,GJ 3929,15.04,,239.5775678,35.4081141,,,
267,GJ 393 b,GJ 393,7.02679,,157.2288672,0.8378485,,,
268,GJ 3942 b,GJ 3942,6.905,,242.2645452,52.9441443,,,
269,GJ 3988 b,GJ 3988,6.9442,,255.8503747,51.4089795,,,
270,GJ 3998 b,GJ 3998,2.6500500000000002,,259.0020507,11.0561751,,,
271,GJ 3998 c,GJ 3998,13.7335,,259.0020507,11.0561751,,,
272,GJ 3998 d,GJ 3998,41.78,,259.0020507,11.0561751,,,
273,GJ 411 b,GJ 411,12.9442,,165.834471,35.972317,,,
274,GJ 414 A b,GJ 414 A,51.2125,2.63,167.7745044,30.4451688,,,
275,GJ 414 A c,GJ 414 A,747.2650000000001,8.4,167.7745044,30.4451688,,,
276,GJ 422 b,GJ 422,23.145000000000003,,168.9810458,-57.5425629,,,
277,GJ 4276 b,GJ 4276,13.352,,336.3221454,59.412503,,,
278,GJ 433 b,GJ 433,7.3705,,173.8619194,-32.5436302,,,
279,GJ 433 c,GJ 433,4247.0525,,173.8619194,-32.5436302,,,
280,GJ 433 d,GJ 433,36.059,,173.8619194,-32.5436302,,,
281,GJ 436 b,GJ 436,2.6419086331613637,4.104684412999999,175.5505363,26.7030669,0.95170578,0.6398176275,
282,GJ 463 b,GJ 463,3450.75,,185.7440496,64.0324311,,,
283,GJ 480 b,GJ 480,9.567,,189.7134226,11.6950708,,,
284,GJ 486 b,GJ 486,1.4671199511825002,1.3152848499999998,191.981531,9.7494181,1.0352437666666667,0.14195774666666666,
285,GJ 504 b,GJ 504,,12.10569916,199.192348,9.4249781,,,
286,GJ 508.2 b,GJ 508.2,5300.0,,200.2443854,34.2776644,,,
287,GJ 514 b,GJ 514,140.43,,202.5040424,10.3725387,,,
288,GJ 536 b,GJ 536,8.708113333333333,,210.2597264,-2.6522901,,,
289,GJ 536 c,GJ 536,32.761,,210.2597264,-2.6522901,,,
290,GJ 581 b,GJ 581,5.368162857142857,,229.85647249999997,-7.7226935,,,
291,GJ 581 c,GJ 581,12.919466666666667,,229.8564725,-7.722693500000001,,,
292,GJ 581 e,GJ 581,3.1496380000000004,,229.85647250000002,-7.7226935,,,
293,GJ 625 b,GJ 625,14.628,,246.3557854,54.3033625,,,
294,GJ 649 b,GJ 649,601.0666666666666,,254.5363221,25.7419719,,,
295,GJ 667 C b,GJ 667 C,7.200792,,259.7510609,-34.9977651,,,
296,GJ 667 C c,GJ 667 C,28.134500000000003,,259.7510609,-34.9977651,,,
297,GJ 667 C e,GJ 667 C,62.24,,259.7510609,-34.9977651,,,
298,GJ 667 C f,GJ 667 C,39.026,,259.7510609,-34.9977651,,,
299,GJ 667 C g,GJ 667 C,256.2,,259.7510609,-34.9977651,,,
300,GJ 674 b,GJ 674,4.6938,,262.1700476,-46.8989826,,,
301,GJ 676 A b,GJ 676 A,1053.289052,,262.5448903,-51.6377777,,,
302,GJ 676 A c,GJ 676 A,10629.211510000001,,262.5448903,-51.6377777,,,
303,GJ 676 A d,GJ 676 A,3.6004199999999997,,262.5448903,-51.637777699999994,,,
304,GJ 676 A e,GJ 676 A,35.41119333333333,,262.5448903,-51.637777699999994,,,
305,GJ 680 b,GJ 680,17281.66514,,263.8072214,-48.6788427,,,
306,GJ 682 b,GJ 682,17.478,,264.2610245,-44.3232519,,,
307,GJ 682 c,GJ 682,57.32,,264.2610245,-44.3232519,,,
308,GJ 685 b,GJ 685,24.16,,263.8960378,61.6793482,,,
